ProcessName,EventID,Timestamp,SubjectUserName,TargetUserName,ParentProcessName,CommandLine,RowID,Suspicion_Score,summary
C:\Windows\System32\conhost.exe,4689,2026-04-18 18:09:58.238388+00:00,DESKTOP-7CV8A7M$,,,,3360,1,Normal conhost process termination event
,4688,2026-04-18 18:09:58.243292+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\SysWOW64\auditpol.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,3361,2,Conhost spawned by auditpol with ForceV1 flag
C:\Windows\SysWOW64\auditpol.exe,4689,2026-04-18 18:09:58.269089+00:00,DESKTOP-7CV8A7M$,,,,3362,1,Normal auditpol process termination
,4688,2026-04-18 18:09:58.271154+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files (x86)\ossec-agent\wazuh-agent.exe,"auditpol.exe /get /subcategory:""File Share""",3363,3,Wazuh agent executing auditpol file share query
C:\Windows\System32\conhost.exe,4689,2026-04-18 18:09:58.273560+00:00,DESKTOP-7CV8A7M$,,,,3364,1,Normal conhost process termination event
,4688,2026-04-18 18:09:58.277576+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\SysWOW64\auditpol.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,3365,2,Conhost spawned by auditpol with ForceV1 flag
C:\Windows\SysWOW64\auditpol.exe,4689,2026-04-18 18:09:58.304802+00:00,DESKTOP-7CV8A7M$,,,,3366,1,Normal auditpol process termination
,4688,2026-04-18 18:09:58.306971+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files (x86)\ossec-agent\wazuh-agent.exe,"auditpol.exe /get /subcategory:""Other Object Access Events""",3367,3,Wazuh agent executing auditpol object access query
C:\Windows\System32\conhost.exe,4689,2026-04-18 18:09:58.309008+00:00,DESKTOP-7CV8A7M$,,,,3368,1,Normal conhost process termination event
,4688,2026-04-18 18:09:58.312885+00:00,DESKTOP-7CV8A7M$,-,C:\Windows\SysWOW64\auditpol.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,3369,2,Conhost spawned by auditpol with ForceV1 flag
C:\Windows\SysWOW64\auditpol.exe,4689,2026-04-18 18:09:58.378910+00:00,DESKTOP-7CV8A7M$,,,,3370,1,Normal auditpol process termination
,4688,2026-04-18 18:09:58.412960+00:00,DESKTOP-7CV8A7M$,-,C:\Program Files (x86)\ossec-agent\wazuh-agent.exe,"auditpol.exe /get /subcategory:""Removable Storage""",3371,3,Wazuh agent executing auditpol removable storage query
,5058,2026-04-18 18:09:58.432951+00:00,LOCAL SERVICE,,,,3372,1,Normal LOCAL SERVICE cryptographic operation
,5061,2026-04-18 18:09:58.433575+00:00,LOCAL SERVICE,,,,3373,1,Normal LOCAL SERVICE cryptographic operation
,5059,2026-04-18 18:09:58.433683+00:00,LOCAL SERVICE,,,,3374,1,Normal LOCAL SERVICE cryptographic operation
,5059,2026-04-18 18:09:58.435457+00:00,LOCAL SERVICE,,,,3375,1,Normal LOCAL SERVICE cryptographic operation
,4738,2026-04-18 18:09:58.457235+00:00,DESKTOP-7CV8A7M$,pizza,,,3376,2,User account pizza modified by system
C:\Windows\System32\svchost.exe,4648,2026-04-18 18:09:58.465302+00:00,DESKTOP-7CV8A7M$,pizzahuthacker@gmail.com,,,3377,11,Suspicious email account logon attempt via svchost
C:\Windows\System32\svchost.exe,4624,2026-04-18 18:09:58.465324+00:00,DESKTOP-7CV8A7M$,pizzahuthacker@gmail.com,,,3378,11,Suspicious email account logon via svchost process
,4627,2026-04-18 18:09:58.465338+00:00,DESKTOP-7CV8A7M$,pizzahuthacker@gmail.com,,,3379,11,Suspicious email account group membership assignment
