TargetUserName,Timestamp,SubjectUserName,EventID,ParentProcessName,CommandLine,ProcessName,RowID
-,2026-04-20 18:08:00.906046+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\services.exe,C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s PrintDeviceConfigurationService,,210
DESKTOP-A3EGFSV$,2026-04-20 18:08:00.907724+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k NetworkService -p,,211
LOCAL SERVICE,2026-04-20 18:08:00.937368+00:00,DESKTOP-A3EGFSV$,4624,,,C:\Windows\System32\services.exe,212
,2026-04-20 18:08:00.937374+00:00,LOCAL SERVICE,4672,,,,213
SYSTEM,2026-04-20 18:08:00.977324+00:00,DESKTOP-A3EGFSV$,4624,,,C:\Windows\System32\services.exe,214
,2026-04-20 18:08:00.977329+00:00,SYSTEM,4672,,,,215
-,2026-04-20 18:08:00.978376+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\services.exe,C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService,,216
SYSTEM,2026-04-20 18:08:00.987871+00:00,DESKTOP-A3EGFSV$,4624,,,C:\Windows\System32\services.exe,217
,2026-04-20 18:08:00.987877+00:00,SYSTEM,4672,,,,218
-,2026-04-20 18:08:00.988930+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule,,219
LOCAL SERVICE,2026-04-20 18:08:01.016644+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\services.exe,C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts,,220
LOCAL SERVICE,2026-04-20 18:08:01.017059+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p,,221
LOCAL SERVICE,2026-04-20 18:08:01.018610+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc,,222
LOCAL SERVICE,2026-04-20 18:08:01.020494+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s AppIDSvc,,223
SYSTEM,2026-04-20 18:08:01.048046+00:00,DESKTOP-A3EGFSV$,4624,,,C:\Windows\System32\services.exe,224
,2026-04-20 18:08:01.048050+00:00,SYSTEM,4672,,,,225
-,2026-04-20 18:08:01.049387+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k UserProfileService -p -s ProfSvc,,226
LOCAL SERVICE,2026-04-20 18:08:01.091164+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k LocalService -p -s nsi,,227
SYSTEM,2026-04-20 18:08:01.117346+00:00,DESKTOP-A3EGFSV$,4624,,,C:\Windows\System32\services.exe,228
,2026-04-20 18:08:01.117352+00:00,SYSTEM,4672,,,,229
-,2026-04-20 18:08:01.118601+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s UserManager,,230
SYSTEM,2026-04-20 18:08:01.142315+00:00,DESKTOP-A3EGFSV$,4624,,,C:\Windows\System32\services.exe,231
,2026-04-20 18:08:01.142319+00:00,SYSTEM,4672,,,,232
-,2026-04-20 18:08:01.143608+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -s WPDBusEnum,,233
-,2026-04-20 18:08:01.150652+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\services.exe,C:\WINDOWS\System32\Upfc.exe /launchtype boot /cv PF0rFyn/oUe5zqw37hhFWw.0,,234
DESKTOP-A3EGFSV$,2026-04-20 18:08:01.155518+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\services.exe,C:\WINDOWS\System32\svchost.exe -k netprofm -p -s netprofm,,235
,2026-04-20 18:08:01.270605+00:00,DESKTOP-A3EGFSV$,4689,,,C:\Windows\System32\upfc.exe,236
LOCAL SERVICE,2026-04-20 18:08:01.300644+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc,,237
LOCAL SERVICE,2026-04-20 18:08:01.302795+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\services.exe,C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog,,238
LOCAL SERVICE,2026-04-20 18:08:01.361208+00:00,DESKTOP-A3EGFSV$,4688,C:\Windows\System32\services.exe,C:\WINDOWS\system32\svchost.exe -k LocalServiceRedirectionGuard -p -s EventSystem,,239
SYSTEM,2026-04-20 18:08:01.367140+00:00,DESKTOP-A3EGFSV$,4624,,,C:\Windows\System32\services.exe,240
,2026-04-20 18:08:01.367146+00:00,SYSTEM,4672,,,,241
